,host_id,state,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,room_type,accommodates,bathrooms_text,bedrooms,beds,has_availability,number_of_reviews_ltm,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month,essentials,other_amenities,hotel_room_revenue,host_experience,total_bookings
107,214993,California,0,100,100,1,1,1,0,2.0,1.0,0,1,1,2.0,4.93,0,1.0,1.11,1,42,5695.522388059702,4119.0,2.985074626865672
108,215462,California,1,91,98,1,1,1,2,2.0,1.0,1,1,1,26.333333333333332,4.803333333333334,0,5.0,2.27,1,33,68955.22388059701,4119.0,117.91044776119404
109,215804,California,0,97,99,1,1,1,0,3.6666666666666665,1.0,1,2,1,38.0,4.93,1,3.0,4.65,1,49,30184.92537313433,4119.0,170.14925373134326
110,219283,California,1,100,91,0,1,1,0,5.625,1.75,2,2,1,3.875,4.78375,1,8.0,0.3,1,34,76009.10447761194,4115.875,46.26865671641791
111,227075,California,1,100,89,1,1,1,2,1.0,1.0,1,1,1,0.0,4.95,0,2.0,0.21,0,18,0.0,4109.0,0.0
112,230943,California,0,100,100,1,1,1,2,2.0,1.5,1,1,1,8.0,4.85,1,1.0,0.31,1,43,2244.7761194029854,4106.0,11.940298507462687
113,231429,Florida,0,100,98,1,1,0,0,2.0,1.0,1,1,1,23.0,4.87,1,1.0,0.93,1,32,7723.880597014925,4123.0,34.32835820895522
114,231825,California,2,100,25,0,1,0,0,2.0,1.0,1,1,1,0.0,4.67,0,1.0,0.04,1,26,0.0,4104.0,0.0
115,232095,California,0,100,100,1,1,1,0,11.0,2.0,3,8,1,3.0,4.83,1,2.0,1.42,1,40,81268.6567164179,4104.0,4.477611940298507
116,232535,California,1,100,50,0,1,1,0,5.666666666666667,1.3333333333333333,2,2,1,0.3333333333333333,4.983333333333333,0,3.0,0.4766666666666666,1,27,10074.626865671642,4104.0,1.492537313432836
117,235101,California,0,100,75,1,1,1,0,3.0,1.0,1,2,1,12.0,4.93,0,1.0,2.54,1,57,14776.119402985074,4101.0,17.91044776119403
118,235900,Florida,0,100,100,0,1,0,0,2.6666666666666665,1.0,0,2,1,13.666666666666666,4.863333333333333,0,3.0,0.8400000000000002,1,46,18291.0447761194,4118.0,61.19402985074626
119,236758,California,0,100,76,0,1,1,0,2.0,1.0,0,1,1,41.0,4.71,0,1.0,2.76,1,43,19092.537313432837,4099.0,61.19402985074627
