,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
0,275948,0,85,0,1,1,0,6,2,2,337,0,4.7,0,1,0.51,1,1,57,1.0,9,11,15862.5
1,351303,0,60,0,2,1,0,6,2,4,268,0,4.0,0,2,0.04,1,0,19,2.0,4,10,6300.0
2,454736,1,92,0,9,1,0,5,2,3,206,0,4.89,0,8,0.16,1,1,19,1.0,4,10,1039.5
3,532930,2,0,0,3,1,0,5,3,3,203,0,5.0,0,1,0.04,1,0,13,2.0,8,10,1410.0
4,637272,1,26,0,13,1,0,7,2,3,353,0,4.5,0,6,0.14,1,1,38,2.0,8,10,19845.0
5,637272,1,26,0,13,1,0,5,1,2,177,0,4.09,0,6,0.2,1,0,29,1.5,8,10,3375.0
6,614963,0,93,1,1,1,2,1,1,1,285,1,4.97,0,1,0.64,1,1,38,1.5,4,10,2940.0
7,924482,2,0,0,2,0,0,4,1,2,53,0,4.43,0,1,0.21,1,1,20,1.0,3,10,357.0
8,964836,1,96,0,1,1,0,10,4,7,215,0,4.71,0,1,0.61,1,1,41,3.0,6,10,21300.0
9,637272,1,26,0,13,1,0,5,1,1,281,0,4.81,0,6,0.15,1,0,16,1.5,8,10,2400.0
10,1097874,0,91,1,1,0,0,6,2,4,76,0,4.78,1,1,0.82,1,1,36,2.0,3,10,46800.0
12,454736,1,92,0,9,1,0,2,1,1,205,0,4.8,0,8,0.09,1,1,20,1.0,4,10,1050.0
13,1304156,0,96,0,7,1,0,4,2,2,356,2,4.78,0,4,1.55,1,1,52,1.0,5,10,17748.0
14,1557618,0,76,1,3,1,0,4,2,2,253,0,4.74,0,3,0.86,1,1,52,2.0,10,9,8788.5
15,1583261,0,92,0,6,1,2,2,1,1,50,0,5.0,0,2,0.16,1,1,54,1.0,7,9,780.0
16,1585064,2,100,1,2,0,2,2,1,1,262,0,4.83,0,2,0.39,1,1,43,1.0,5,9,12420.0
17,791089,3,29,0,8,1,0,6,3,3,355,0,1.2,0,4,0.05,1,1,16,3.0,7,10,9450.0
18,1304156,0,96,0,7,1,0,2,1,1,330,3,4.76,0,4,1.26,1,1,57,1.0,5,10,4758.0
21,1770887,0,99,0,54,1,0,6,1,3,28,0,4.63,1,9,0.27,1,1,41,1.0,10,9,6435.0
22,1848829,2,73,1,2,1,0,2,1,1,267,0,4.73,0,2,0.2,1,1,30,1.0,4,9,4725.0
24,1848829,2,73,1,2,1,0,2,1,1,296,1,4.85,0,2,0.17,1,1,30,1.0,4,9,6300.0
26,2168585,1,0,0,1,0,0,6,3,3,267,0,2.5,0,1,0.02,1,1,25,3.0,3,9,4042.5
27,1889394,0,100,1,1,1,0,4,1,2,200,2,4.83,1,1,1.03,1,1,33,1.0,6,9,17172.0
30,637272,1,26,0,13,1,0,7,2,5,357,0,4.44,0,6,0.23,1,0,19,2.0,8,10,11583.0
31,1585064,2,100,1,2,0,2,1,1,1,206,0,5.0,0,2,0.4,1,1,44,1.0,5,9,25920.0
32,1748183,1,95,1,4,1,2,2,1,1,207,0,4.93,0,3,0.43,1,1,36,1.0,8,9,6960.0
33,1770887,0,99,0,54,1,0,8,2,4,28,0,4.62,1,9,0.2,1,1,46,2.0,10,9,1796.3999999999999
34,3096101,2,100,0,3,0,2,1,1,1,14,0,4.58,0,1,0.27,1,1,22,1.0,4,9,240.0
35,1770887,0,99,0,54,1,0,6,1,3,14,0,4.45,1,9,0.18,1,1,39,1.0,10,9,1646.7000000000003
37,3463815,0,100,0,0,1,0,3,1,1,305,0,4.17,1,2,0.12,1,1,28,1.5,4,9,1350.0
38,1770887,0,99,0,54,1,0,6,1,1,14,0,4.47,1,9,0.19,1,1,42,1.0,10,9,2702.7000000000003
39,1770887,0,99,0,54,1,0,8,2,4,28,0,4.76,1,9,0.31,1,1,42,2.0,10,9,6177.599999999999
41,2609518,0,100,0,10,1,0,10,5,6,241,3,4.77,1,10,2.0,1,1,61,5.0,6,9,236390.40000000005
42,3747351,0,100,0,0,0,2,2,1,2,349,0,5.0,0,1,0.13,1,1,33,1.0,1,9,232.5
43,4036922,1,78,0,1,1,0,6,3,3,270,0,4.66,0,1,0.46,1,1,64,2.0,5,9,26352.0
46,4168960,0,98,0,3,1,0,4,2,3,263,0,4.09,0,1,0.23,1,1,39,2.0,5,9,7276.5
47,2001930,0,87,0,107,1,0,5,1,3,21,0,4.43,0,50,0.07,1,1,36,1.5,5,9,1462.5
48,454736,1,92,0,9,1,0,2,1,1,206,0,4.59,0,8,0.94,1,1,17,1.0,4,10,1732.5
49,4787710,1,98,0,1,1,0,8,2,5,250,0,4.42,0,1,0.69,1,0,34,2.0,9,8,9918.0
51,454736,1,92,0,9,1,0,3,1,2,206,0,4.74,0,8,0.21,1,0,13,1.0,4,10,1365.0
52,5371244,0,89,0,1,1,0,4,2,2,310,1,4.57,0,1,1.81,1,1,18,2.0,6,8,11700.0
53,2001930,0,87,0,107,1,0,7,2,4,94,0,4.6,0,50,0.06,1,1,37,2.0,5,9,8498.699999999999
54,5514632,0,50,0,13,1,2,2,1,1,57,0,4.6,0,12,0.22,1,1,24,1.0,6,8,58.5
55,240212,1,79,0,2,1,0,6,3,3,249,0,4.75,0,1,0.17,1,1,51,2.0,5,11,3097.5
56,5540104,2,5,0,4,1,0,10,5,5,306,0,4.5,0,1,0.05,1,1,19,4.0,4,8,12600.0
57,5514632,0,50,0,13,1,2,2,1,1,113,0,4.71,0,12,0.17,1,1,12,1.0,6,8,73.5
58,1931430,0,99,1,4,0,0,4,1,1,260,1,4.59,0,1,0.47,1,1,29,1.0,6,9,2340.0
59,2001930,0,87,0,107,1,0,6,2,4,21,0,4.17,0,50,0.06,1,1,37,2.0,5,9,3735.0
60,6030918,1,93,0,1,0,0,7,3,3,356,2,4.56,0,1,1.21,1,1,35,2.0,3,8,8217.0
61,6021015,0,89,1,2,1,2,2,1,1,312,0,4.9,0,2,0.98,1,1,40,1.5,7,8,4212.0
62,6021015,0,89,1,2,1,2,2,1,1,319,0,4.86,0,2,0.62,1,1,42,1.5,7,8,2457.0
63,6133059,1,97,0,2,1,0,4,1,2,252,0,4.48,0,2,0.9,1,1,61,1.0,7,8,20200.5
64,6133059,1,97,0,2,1,0,4,1,2,236,2,4.29,0,2,0.75,1,1,51,1.0,7,8,22600.8
65,5611017,0,98,0,18,1,0,3,1,2,20,0,4.28,1,18,1.1,1,1,25,1.0,8,8,5112.0
67,6288957,0,90,0,5,1,0,6,3,3,142,0,4.86,0,6,0.72,1,1,56,3.0,5,8,15435.0
68,6302818,1,100,1,1,1,0,4,1,3,273,1,4.85,1,1,1.61,1,1,53,1.0,7,8,13860.0
69,2604965,2,90,1,3,1,0,6,3,3,358,0,4.78,0,1,0.41,1,1,36,3.0,4,9,10624.5
70,6716392,1,95,0,2,0,2,2,1,1,352,1,4.77,0,1,1.29,1,1,36,1.0,4,8,3996.0
71,6321234,0,96,1,1,1,0,7,2,3,242,4,4.79,0,1,2.11,1,1,39,2.0,9,8,81900.0
72,7056347,1,98,1,2,1,0,8,4,6,346,1,4.8,1,1,1.81,1,1,52,2.0,10,8,44148.0
73,7076305,0,97,0,1,1,0,6,3,5,154,0,4.84,0,1,0.77,1,1,55,2.0,6,8,23940.0
74,3018206,0,78,0,1,1,0,4,1,2,267,0,5.0,0,2,0.05,1,1,20,1.5,5,9,15660.0
75,6204254,3,26,0,17,1,0,5,2,4,314,0,4.78,0,3,0.75,1,1,30,2.0,8,8,10875.0
77,1304156,0,96,0,7,1,0,2,1,1,351,5,4.79,0,4,1.79,1,1,49,1.0,5,10,7035.0
78,7459306,1,64,0,1,1,0,4,1,2,250,0,4.81,0,1,0.3,1,1,19,1.0,5,8,19440.0
79,454736,1,92,0,9,1,0,6,2,5,206,0,4.57,0,8,0.37,1,0,22,2.0,4,10,6300.0
80,2001930,0,87,0,107,1,0,6,2,4,20,0,4.33,0,50,0.09,1,1,37,2.0,5,9,5229.0
83,8298928,2,65,0,0,0,0,5,2,2,211,0,4.89,0,1,0.18,1,1,47,2.0,3,8,28496.249999999996
84,1976255,0,60,1,1,1,0,10,4,6,272,1,4.7,0,1,0.96,1,0,33,2.5,6,9,56700.0
85,8737341,0,67,0,1,1,0,6,3,8,271,1,4.8,0,1,0.07,1,1,43,3.5,4,8,35700.0
86,8790381,0,94,0,21,1,0,4,1,2,321,2,4.42,0,10,0.21,1,0,39,1.0,6,8,6071.999999999999
90,231429,0,98,1,1,0,0,2,1,1,249,2,4.95,1,1,0.93,1,1,32,1.0,3,11,7762.5
91,8185224,0,83,1,4,1,2,2,1,2,321,0,4.94,0,3,0.27,1,1,36,1.5,5,8,1800.0
92,9184480,2,89,0,1,1,0,2,1,1,144,0,4.72,0,1,0.64,1,0,13,1.0,5,8,17514.0
93,9207908,2,50,0,2,1,2,2,1,1,361,0,4.5,0,1,0.08,1,1,17,1.5,5,8,67.5
94,113524,0,88,1,2,1,0,4,2,2,267,0,4.52,0,2,0.34,1,1,39,2.0,6,11,14310.0
95,9315425,1,84,1,1,0,0,9,3,4,236,1,4.81,0,1,1.08,1,1,37,2.0,3,8,16092.0
96,6204254,3,26,0,17,1,0,4,2,3,145,0,4.72,0,3,0.32,1,1,21,2.0,8,8,3937.5
97,9526715,1,96,0,5,1,0,6,3,3,222,0,4.62,0,1,0.31,1,1,62,3.0,5,8,9750.0
98,9443719,1,54,0,15,1,0,8,4,6,355,0,3.81,0,8,0.18,1,1,38,3.0,7,8,3420.0
99,2692728,0,79,1,2,0,0,3,1,2,61,2,4.87,0,3,4.67,1,1,30,1.0,4,9,14985.0
101,9774075,0,62,0,1,1,0,6,3,4,103,0,4.3,0,1,0.11,1,1,42,2.0,4,8,7800.0
102,9873790,0,94,1,1,1,0,7,3,5,65,2,4.76,0,1,0.49,1,1,36,2.0,6,8,65520.0
103,1118365,0,81,1,4,1,0,4,2,2,258,0,4.64,0,1,0.45,1,1,42,2.0,8,10,26510.4
104,171749,0,83,1,2,1,0,2,1,1,277,0,4.62,0,1,0.19,1,1,57,1.0,9,11,7515.0
105,6411242,0,99,1,23,1,2,2,1,1,0,0,4.83,0,23,0.07,1,1,37,1.0,6,8,246.0
106,9946914,2,87,0,5,1,0,2,1,1,281,1,4.68,0,4,0.97,1,1,27,1.0,4,8,11385.0
108,8790381,0,94,0,21,1,0,4,1,3,303,0,4.57,1,10,0.38,1,0,44,1.0,6,8,10625.999999999998
109,9946914,2,87,0,5,1,0,4,1,1,267,1,4.73,0,4,0.73,1,1,21,1.0,4,8,15835.5
110,3246027,0,98,1,3,0,0,4,1,1,311,3,4.84,0,3,3.84,1,1,31,1.0,4,9,12936.0
111,9946914,2,87,0,5,1,0,2,1,1,262,0,4.64,0,4,1.12,1,1,20,1.0,4,8,11628.0
112,10384873,0,95,0,5,1,2,1,1,1,245,0,4.92,0,5,0.13,1,0,10,1.0,7,8,2925.0
113,10392690,0,70,1,4,1,2,1,1,1,268,0,4.9,0,3,0.42,1,1,31,2.0,5,8,2862.0
114,10384873,0,95,0,5,1,2,1,1,1,237,0,4.73,0,5,0.17,1,0,10,1.0,7,8,1800.0
115,10384873,0,95,0,5,1,2,2,1,1,267,0,4.6,0,5,0.15,1,0,10,1.0,7,8,3150.0
116,2453109,1,57,0,4,1,0,4,2,2,255,1,4.75,0,1,0.89,1,1,57,1.0,6,9,18144.0
117,10416582,2,71,0,1,0,2,1,1,1,74,0,4.94,0,1,0.19,1,1,30,1.5,3,8,540.0
118,10384873,0,95,0,5,1,2,1,1,1,318,0,4.7,0,5,0.29,1,1,15,1.0,7,8,16038.0
119,10479761,0,5,0,4,0,0,2,2,2,265,0,3.33,0,1,0.04,1,1,17,1.0,3,8,6930.0
120,3209220,0,78,0,1,1,0,4,2,3,132,1,4.65,0,1,0.54,1,1,62,1.0,9,9,60900.0
121,10534063,0,81,1,2,1,2,2,1,1,330,1,4.69,0,2,0.54,1,1,57,2.5,6,8,390.0
122,791089,3,29,0,8,1,2,2,1,1,364,0,5.0,0,4,0.04,1,1,18,1.0,7,10,1260.0
123,10591425,2,97,0,3,1,2,4,2,2,296,1,4.26,0,2,0.58,1,1,32,1.0,6,8,26880.0
124,10591425,2,97,0,3,1,2,4,1,1,288,0,4.38,0,2,0.6,1,1,26,1.0,6,8,13200.0
125,10791649,0,99,0,6,1,0,12,4,6,263,4,4.53,0,6,1.65,1,1,31,2.0,8,8,97968.0
126,1748183,1,95,1,4,1,2,2,1,1,207,0,4.9,0,3,0.74,1,1,29,1.0,8,9,9750.0
127,6272954,0,96,1,3,1,0,8,4,4,287,0,4.59,0,2,0.83,1,1,57,2.0,6,8,56241.90000000001
129,11270841,0,76,0,1,1,0,4,2,3,127,2,4.57,0,1,0.5,1,1,67,1.5,5,7,14112.0
130,11210319,1,56,1,1,1,2,2,1,1,255,0,4.73,0,1,0.72,1,1,38,1.0,7,7,4005.0
131,11512158,1,97,1,1,1,0,4,1,2,60,2,4.91,0,4,2.04,1,1,33,1.0,9,7,22390.500000000004
132,11513176,0,99,0,2,1,0,2,2,2,177,0,4.88,0,1,0.17,1,1,18,2.0,8,7,192.0
133,11553282,0,99,1,6,1,0,2,1,1,328,5,4.86,1,5,5.09,1,1,52,1.0,6,7,13761.0
134,11584719,0,99,0,1,0,0,4,1,3,327,0,4.42,1,1,2.89,1,1,37,1.0,1,7,17238.0
135,11679207,2,71,0,4,1,0,2,1,1,299,0,4.8,0,4,0.06,1,1,18,1.0,3,7,3375.0
136,10384873,0,95,0,5,1,2,1,1,1,236,0,4.5,0,5,0.35,1,0,9,1.0,7,8,4860.0
137,11797569,0,76,1,0,1,2,2,1,1,177,0,4.69,0,1,0.67,1,1,66,1.0,6,7,891.0000000000001
138,11867654,0,100,0,6,1,0,4,1,2,150,3,4.53,0,5,0.58,1,1,36,1.0,6,7,24105.600000000002
139,10392690,0,70,1,4,1,2,2,1,1,269,0,4.7,0,3,0.11,1,1,20,2.0,5,8,238.5
140,12154543,0,100,1,2,1,0,4,1,2,321,0,4.6,0,2,1.1,1,1,39,1.0,6,7,6678.0
142,8790381,0,94,0,21,1,0,6,2,4,303,1,4.68,0,10,0.34,1,1,29,2.0,6,8,8942.4
143,12540540,1,99,1,5,1,0,3,1,1,281,1,4.95,1,5,0.39,1,1,38,1.0,8,7,15436.8
145,12705227,2,77,0,2,0,0,6,2,2,321,0,4.51,0,2,1.17,1,1,21,2.0,3,7,39244.5
146,10477721,0,100,0,1,1,0,2,1,1,286,1,4.88,0,1,0.2,1,1,35,1.0,4,8,6562.5
147,899093,0,88,0,6,1,0,2,1,1,129,0,4.4,0,6,1.38,1,1,23,1.0,7,10,15151.5
148,2001930,0,87,0,107,1,0,7,3,4,206,0,3.5,0,50,0.02,1,0,21,2.0,5,9,16837.5
149,13077136,2,78,0,2,1,0,8,3,4,279,1,4.0,0,2,0.13,1,0,13,2.0,3,7,1390.5
152,4087252,1,81,1,7,1,0,10,4,7,329,0,4.8,0,1,1.16,1,1,36,2.0,6,9,25701.0
153,11068214,1,77,0,7,0,0,6,2,3,122,1,4.75,0,6,0.46,1,1,36,1.5,3,7,14700.0
154,899093,0,88,0,6,1,0,2,1,1,107,0,4.86,0,6,0.25,1,1,20,1.5,7,10,12150.0
155,13127060,1,56,0,0,1,2,2,1,1,297,1,4.62,0,1,0.34,1,1,41,1.0,7,7,742.5
156,11679207,2,71,0,4,1,0,2,1,1,306,0,3.75,0,4,0.05,1,1,19,1.0,3,7,5040.0
157,13782941,0,25,0,4,1,2,2,1,2,365,0,4.4,1,2,0.07,1,1,49,1.0,5,7,472.5
158,11679207,2,71,0,4,1,0,4,2,3,293,1,4.22,0,4,0.12,1,1,22,2.0,3,7,8820.0
159,1710387,0,43,0,2,1,0,2,1,2,0,1,4.61,0,1,0.2,1,1,52,1.0,9,9,5812.5
161,394991,0,99,1,10,1,0,3,1,1,4,0,4.75,0,4,3.44,1,1,32,1.0,8,10,11074.5
162,265809,1,77,1,3,1,0,8,3,3,344,0,4.86,0,3,1.43,1,1,35,2.0,6,11,29925.0
163,14636250,2,81,0,1,0,2,2,1,2,78,0,4.5,0,1,0.15,1,1,33,1.0,3,7,2142.0
164,14751091,0,69,1,3,1,0,6,3,4,25,1,4.94,0,4,0.2,1,1,30,2.0,3,7,11226.599999999999
165,6554158,0,85,0,4,1,0,4,2,4,283,0,4.71,0,2,0.26,1,1,25,2.0,6,8,12000.0
166,899093,0,88,0,6,1,0,2,1,1,141,1,4.51,0,6,1.18,1,1,16,1.0,7,10,11340.0
167,1340850,0,97,1,12,1,0,4,2,2,284,1,4.75,1,11,0.32,1,1,62,1.5,8,10,4221.0
168,12518363,0,100,1,2,1,0,5,2,3,224,0,4.53,0,1,0.2,1,1,40,2.0,4,7,22950.0
169,15362033,2,64,0,28,1,0,6,1,3,254,1,4.48,0,16,0.32,1,1,33,1.0,8,7,14553.0
170,2001930,0,87,0,107,1,0,7,2,3,96,0,4.5,0,50,0.14,1,1,38,2.0,5,9,25725.0
171,15735415,0,94,1,3,0,0,4,2,2,248,0,4.91,0,3,1.25,1,1,41,1.0,3,7,5346.599999999999
174,15820838,2,91,1,1,1,2,2,1,1,297,1,4.97,0,2,0.83,1,1,27,1.0,7,7,3960.0
175,5397550,0,99,0,7,1,0,2,1,1,212,0,4.63,1,5,0.65,1,1,33,1.0,7,8,225288.0
176,6554158,0,85,0,4,1,0,2,1,2,282,0,4.6,0,2,0.24,1,1,34,1.5,6,8,9112.5
178,16137389,1,58,0,5,0,0,6,2,4,233,2,4.68,0,4,0.27,1,1,42,2.0,3,7,5310.0
179,14324932,0,89,0,37,1,2,4,1,1,350,0,4.67,1,35,0.4,1,1,18,1.0,4,7,9996.0
180,16295826,1,25,0,1,1,0,4,2,3,1,0,4.88,0,1,0.78,1,1,38,2.0,4,7,180.0
181,1748183,1,95,1,4,1,2,1,1,1,207,0,4.96,0,3,0.53,1,1,31,1.0,8,9,5250.0
182,3568928,1,94,0,6,1,0,4,1,1,365,0,5.0,0,1,0.03,1,1,14,1.0,6,9,1837.5
183,265809,1,77,1,3,1,0,4,1,1,241,0,4.71,0,3,0.43,1,1,31,1.0,6,11,3675.0
184,265809,1,77,1,3,1,0,4,2,2,267,1,4.83,0,3,0.64,1,1,40,1.0,6,11,7920.0
185,17044377,2,74,0,2,1,2,2,1,1,0,0,4.61,0,2,1.84,1,1,32,1.0,6,7,2511.0
188,5397550,0,99,0,7,1,0,4,1,2,232,0,4.73,1,5,0.71,1,1,26,1.0,7,8,104832.0
190,17762583,1,89,0,1,1,0,8,4,4,195,0,4.74,0,1,0.59,1,1,38,4.5,6,7,31049.999999999996
191,17773902,0,86,1,1,1,0,7,3,6,128,2,4.75,0,1,1.15,1,1,66,3.0,8,7,46432.49999999999
193,11553282,0,99,1,6,1,2,2,1,1,337,6,4.91,1,5,5.92,1,1,46,1.0,6,7,7755.0
194,14324932,0,89,0,37,1,0,4,1,2,233,0,4.47,1,35,0.62,1,1,25,1.0,4,7,525.0
195,18987173,0,98,1,1,1,0,9,3,7,219,2,4.93,1,1,2.26,1,1,49,2.0,8,7,117810.0
197,19196941,0,100,1,2,0,0,4,2,2,228,1,4.56,0,1,0.25,1,1,39,1.5,3,7,10255.5
199,6509464,2,50,0,7,1,2,4,1,1,326,1,4.63,0,5,0.38,1,1,31,1.0,5,8,15660.0
200,20479149,1,90,0,2,1,0,6,2,3,237,0,4.66,0,1,1.47,1,1,29,2.0,5,7,879750.0
201,20512179,3,67,0,17,1,0,4,1,2,58,0,4.9,0,12,0.35,1,1,39,1.0,8,7,4995.0
202,20793680,2,0,0,3,0,2,1,1,1,145,0,4.43,0,1,0.89,1,1,27,1.0,4,7,90.0
203,7259492,1,100,1,3,1,2,1,1,1,121,0,5.0,1,2,0.07,1,1,13,1.5,7,8,612.0
205,1770887,0,99,0,54,1,0,8,2,2,7,0,4.83,1,9,0.1,1,1,41,2.0,10,9,2702.7000000000003
206,17469794,0,94,0,53,1,0,4,1,2,278,1,4.76,0,53,0.38,1,1,38,1.0,8,7,24864.0
207,11068214,1,77,0,7,0,0,6,2,3,284,1,4.7,0,6,0.39,1,1,39,2.0,3,7,3339.0
208,12878437,2,38,0,10,1,0,5,1,4,300,0,4.33,0,9,0.17,1,1,33,1.5,5,7,1507.5
209,12878437,2,38,0,10,1,0,5,2,5,323,1,4.5,0,9,0.17,1,1,33,1.5,5,7,921.0
210,9946914,2,87,0,5,1,0,2,1,1,251,0,4.72,0,4,0.8,1,1,18,1.0,4,8,979.1999999999999
211,21771375,1,69,0,1,1,0,4,2,3,201,0,4.33,0,1,0.03,1,0,16,2.0,6,7,17550.0
212,22008615,0,100,0,1,1,0,4,1,2,0,0,5.0,0,2,0.1,1,1,33,1.0,8,7,1998.0
213,22100178,2,84,1,1,1,0,4,1,2,245,3,4.88,0,1,0.51,1,1,62,1.0,4,7,26393.85
215,22238827,0,61,0,6,1,2,2,1,1,347,0,4.88,0,5,1.27,1,1,18,1.0,7,7,1200.0
217,350312,2,50,0,2,1,0,6,3,3,332,0,3.0,0,2,0.02,1,1,33,1.0,4,10,13500.0
218,350312,2,50,0,2,1,0,2,1,1,365,0,5.0,0,2,0.06,1,1,29,1.0,4,10,11250.0
219,19347509,2,89,0,1,1,0,6,3,3,39,0,4.8,0,2,0.89,1,1,45,2.0,11,7,35700.0
221,14751091,0,69,1,3,1,0,5,2,3,33,0,4.56,0,4,0.21,1,1,37,2.0,3,7,22500.0
222,22441003,1,100,0,2,1,0,6,3,4,295,0,4.5,0,2,0.24,1,1,38,2.0,7,7,7875.0
223,9688645,1,91,0,1,1,0,6,1,4,272,1,4.91,0,1,0.27,1,1,26,1.0,5,8,6255.0
225,17469794,0,94,0,53,1,0,4,1,2,286,0,4.51,1,53,0.51,1,1,36,1.0,8,7,8977.5
226,3685146,0,89,0,4,1,2,2,1,1,125,2,4.72,0,3,6.29,1,1,39,1.0,7,9,204.0
227,23247360,1,72,0,1,0,0,6,3,5,253,1,4.75,0,1,0.45,1,1,17,2.5,3,7,16500.0
228,6509464,2,50,0,7,1,2,3,1,2,352,1,4.55,0,5,0.53,1,1,39,1.0,5,8,20145.0
229,6509464,2,50,0,7,1,2,2,1,1,328,0,4.48,0,5,0.31,1,1,31,1.0,5,8,3912.0
230,3685146,0,89,0,4,1,2,2,1,1,129,5,4.65,0,3,6.05,1,1,29,1.0,7,9,517.5
231,637272,1,26,0,13,1,0,7,2,5,303,0,4.23,0,6,0.16,1,1,27,2.0,8,10,10935.0
232,5221395,1,71,0,3,1,0,10,4,5,353,1,4.44,0,3,0.25,1,1,70,2.0,7,8,44244.0
233,17469794,0,94,0,53,1,0,10,4,6,14,0,4.55,1,53,0.27,1,1,58,2.5,8,7,59010.0
234,17469794,0,94,0,53,1,0,7,2,4,14,0,4.5,0,53,0.42,1,1,42,2.0,8,7,43380.0
235,23505135,0,100,1,1,1,0,8,4,4,319,2,4.71,0,1,1.28,1,1,58,2.0,8,7,34866.0
236,23164450,0,100,0,1,1,2,4,1,1,81,3,4.6,1,1,0.55,1,1,32,1.0,6,7,660.0
237,11873653,2,100,0,2,1,0,4,1,2,0,0,4.86,0,1,0.08,1,1,39,1.0,5,7,2625.0
238,5397550,0,99,0,7,1,0,4,1,2,224,0,4.9,1,5,0.53,1,1,26,1.0,7,8,185220.0
240,23821171,1,17,0,2,1,0,3,1,1,299,0,5.0,0,2,0.06,1,0,15,1.0,5,7,405.0
241,23825526,2,23,0,2,1,0,3,1,1,1,0,2.0,0,2,0.09,1,1,25,1.0,3,7,136.5
242,23821171,1,17,0,2,1,0,4,1,2,321,0,4.91,0,2,0.14,1,0,10,1.0,5,7,1692.0
243,20512179,3,67,0,17,1,0,3,1,1,58,0,4.89,0,12,0.49,1,1,48,1.0,8,7,3627.0
244,339865,1,78,1,2,1,0,2,2,2,244,0,4.86,0,1,1.12,1,1,38,1.0,5,10,6880.5
245,5514632,0,50,0,13,1,2,2,1,1,113,0,4.44,0,12,0.11,1,1,19,1.0,6,8,58.5
246,2001930,0,87,0,107,1,0,7,2,4,51,0,4.4,0,50,0.07,1,1,37,2.0,5,9,5229.0
247,24330722,0,100,1,2,1,2,1,1,1,161,6,4.88,1,2,2.98,1,1,39,1.0,5,7,3628.5
248,24476265,1,82,0,5,0,2,2,1,1,213,0,4.63,0,2,0.2,1,1,22,1.0,4,7,2385.0
249,14472956,0,98,0,12,1,0,12,3,4,113,2,4.72,1,4,2.6,1,1,66,3.0,9,7,40497.600000000006
250,19347509,2,89,0,1,1,3,2,1,2,0,0,4.94,0,2,0.46,1,1,41,1.0,11,7,675.0
251,24623672,0,100,1,4,1,0,2,1,1,285,1,4.93,1,2,1.54,1,1,57,1.0,5,7,6555.0
252,24675123,0,98,0,4,1,0,4,1,2,28,3,4.81,0,3,1.88,1,1,45,1.0,8,7,73237.5
253,24676288,2,52,0,1,0,0,6,2,2,225,1,4.86,0,1,0.19,1,1,35,2.0,2,7,12000.0
254,1258016,2,0,0,0,1,0,4,1,1,239,0,4.0,0,1,0.02,1,1,20,1.5,5,10,16200.0
255,8869038,0,100,1,1,1,0,9,4,5,79,1,4.73,0,1,0.62,1,1,41,3.5,7,8,128520.0
256,20512179,3,67,0,17,1,0,4,1,1,60,0,4.67,0,12,0.06,1,1,50,1.0,8,7,810.0
257,2001930,0,87,0,107,1,0,8,3,5,79,0,4.83,0,50,0.08,1,1,34,3.0,5,9,28539.0
258,24968522,2,81,0,1,1,0,3,1,2,240,0,4.75,0,4,0.09,1,1,42,1.0,6,7,2862.0
259,18282693,2,11,0,10,1,0,2,1,1,358,0,5.0,0,7,0.01,1,1,14,1.0,7,7,1659.0
260,25026680,0,99,0,3,1,0,6,3,3,155,3,4.74,1,1,1.85,1,1,45,2.0,5,7,103293.0
261,24515578,2,47,0,7,1,0,4,2,2,357,1,4.5,0,1,1.22,1,1,12,1.0,6,7,1197.0
262,25133481,1,99,1,1,0,2,4,1,2,322,0,4.81,0,1,1.4,1,1,37,1.0,3,7,2940.0
263,24330722,0,100,1,2,1,2,1,1,1,265,3,4.9,1,2,6.07,1,1,36,1.0,5,7,3601.5
264,2001930,0,87,0,107,1,0,5,1,2,21,0,5.0,0,50,0.03,1,1,36,1.5,5,9,2404.5
265,25361296,0,100,0,1,0,0,5,1,3,231,0,4.69,1,1,0.19,1,1,52,1.5,4,6,15960.0
266,25372446,0,98,1,4,1,0,8,3,5,266,0,4.86,1,3,0.37,1,1,37,3.0,5,6,8064.0
267,2001930,0,87,0,107,1,0,7,2,5,94,0,4.71,0,50,0.14,1,1,36,2.0,5,9,16997.399999999998
269,22238827,0,61,0,6,1,2,2,1,1,346,2,4.57,0,5,1.32,1,0,13,1.0,7,7,2047.5
270,25507540,0,100,1,1,1,2,2,1,2,300,3,4.85,1,1,5.45,1,1,25,0.0,5,6,8928.0
272,18282693,2,11,0,10,1,0,6,2,4,262,0,4.67,0,7,0.05,1,1,12,2.0,7,7,4725.0
273,454736,1,92,0,9,1,0,5,2,3,206,0,4.71,0,8,0.17,1,0,13,1.0,4,10,2100.0
274,6422630,2,94,0,1,1,0,8,3,3,205,0,4.94,0,2,0.64,1,1,40,2.5,4,8,44625.0
275,7259492,1,100,1,3,1,2,1,1,1,298,0,4.96,0,2,0.29,1,1,24,1.0,7,8,18360.0
276,25965138,0,98,1,10,1,0,5,2,2,333,0,4.64,1,9,0.49,1,1,44,2.0,4,6,24452.399999999998
277,11679207,2,71,0,4,1,0,2,1,1,297,0,4.0,0,4,0.11,1,1,27,1.0,3,7,2925.0
