,host_id,host_response_time,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_identity_verified,room_type,accommodates,bedrooms,beds,availability_365,number_of_reviews_l30d,review_scores_value,instant_bookable,calculated_host_listings_count,reviews_per_month,county,essentials,other_amenities,bathrooms_number,number_host_verifications,host_experience,annual_listing_revenue
29051,141909186,0,72,1,6,0,0,4,1,2,155,0,4.87,0,6,0.99,0,1,31,1.0,2,4,26730.0
29052,216511102,3,100,0,3,1,2,1,1,1,340,0,4.85,0,3,0.43,0,1,14,1.0,6,3,1710.0
29053,115108122,0,98,1,2,1,0,4,2,3,88,4,4.76,0,2,2.91,0,1,37,1.0,6,4,24273.0
29054,107434423,0,98,0,2273,1,0,4,2,2,250,0,1.0,1,375,0.04,0,1,25,1.0,9,4,198790.34999999998
29056,100307715,0,54,1,26,1,0,4,1,2,365,0,4.4,0,23,0.18,0,1,39,1.0,6,5,6255.0
29057,34944056,0,99,1,2,1,0,4,1,3,134,3,4.88,1,2,2.61,0,1,42,1.0,7,6,22620.0
29058,21458609,0,96,0,61,1,0,6,4,5,0,0,5.0,0,38,0.12,0,1,22,3.0,8,7,41803.5
29064,77919966,0,100,1,1,1,0,5,2,2,296,7,4.87,1,1,7.9,0,1,41,1.0,4,5,14368.5
29065,31295759,0,94,1,0,1,0,2,1,1,32,9,4.92,0,1,8.21,0,1,23,1.0,7,6,30000.0
29071,269080530,0,74,1,1,0,0,4,2,2,129,0,4.88,0,1,0.81,0,1,38,2.0,3,2,14850.0
29073,16503189,1,92,0,0,0,0,2,1,1,302,2,5.0,0,1,0.28,0,1,50,1.0,2,7,3375.0
29075,115997726,1,71,0,25,1,0,2,1,1,177,1,4.26,1,18,0.64,0,1,25,0.0,9,4,1214.8500000000001
29077,115997726,1,71,0,25,1,0,2,1,2,176,0,4.87,1,18,0.51,0,0,27,0.0,9,4,867.75
29082,7783266,0,100,1,3,1,0,4,2,2,0,0,4.83,0,1,1.84,0,1,35,1.0,8,8,327.0
29084,29189940,2,50,1,1,1,2,2,1,1,0,0,5.0,0,1,0.42,0,1,15,1.0,5,6,156.0
29085,10877867,1,34,0,1,1,0,2,1,1,46,1,4.44,0,1,0.4,0,1,25,1.0,7,7,9072.0
29087,267428996,0,98,0,3,1,2,2,1,1,319,1,4.46,1,3,8.55,0,1,25,1.0,3,2,35931.0
29088,267428996,0,98,0,3,1,2,2,1,1,319,0,1.0,1,3,0.08,0,1,14,1.0,3,2,313.5
29089,267428996,0,98,0,3,1,2,2,1,1,319,2,4.42,1,3,1.02,0,1,14,1.0,3,2,4641.0
29093,47992825,0,79,1,5,0,0,6,3,4,72,0,4.8,0,12,0.18,0,1,34,2.5,3,6,10350.0
29097,9075429,0,55,1,41,1,0,8,4,4,309,0,5.0,0,27,0.1,0,1,21,4.0,10,8,74400.0
29098,45682715,1,100,0,1,0,2,1,1,1,364,0,4.17,0,1,0.2,0,0,8,1.0,3,6,3150.0
29099,22853657,0,64,0,1,1,0,6,2,2,330,0,4.77,0,1,1.21,0,1,33,1.0,4,7,7875.0
29101,192145438,0,86,1,3,1,0,4,2,2,154,0,4.7,0,3,0.91,0,1,30,1.0,6,3,16200.0
29102,35390374,0,99,0,2,1,0,4,2,2,311,4,4.7,1,1,2.67,0,1,24,2.0,2,6,6225.0
29107,146910517,1,88,1,1,1,0,12,6,6,207,6,4.91,0,1,5.22,0,1,42,5.5,6,4,351900.0
29108,269591141,2,82,1,1,0,0,2,1,1,62,1,4.87,0,2,1.98,0,1,28,1.0,5,2,7200.0
29112,269659232,2,0,0,1,1,0,9,3,4,89,0,3.4,0,1,0.17,0,1,37,2.0,6,2,8055.0
29113,4235108,0,85,1,10,1,0,4,2,2,33,0,4.5,0,8,0.15,0,1,42,1.0,8,9,11113.5
29116,8398671,1,91,1,45,1,0,2,1,1,310,6,4.92,1,40,5.15,0,1,52,1.0,7,8,107415.0
29121,2976886,0,91,1,19,1,2,2,1,1,109,0,5.0,0,11,0.45,0,1,45,1.0,8,9,4410.0
29123,167468339,3,38,0,1,1,0,6,3,3,293,0,4.34,0,1,1.11,0,1,18,3.0,1,3,510.0
29124,8398671,1,91,1,45,1,0,5,2,2,126,1,4.68,0,40,2.61,0,1,43,1.0,7,8,50184.0
29125,260453467,3,0,0,2,0,0,2,1,1,322,0,4.82,0,2,0.94,0,1,24,1.0,2,2,396.0
29126,46388132,0,99,1,16,1,0,8,2,2,288,6,4.76,0,17,6.64,0,1,32,1.5,10,6,16875.0
29129,183748799,0,100,1,42,1,0,5,2,3,362,0,4.25,1,53,0.41,0,1,47,2.0,3,3,5706.0
29130,269924186,0,92,1,0,0,2,5,2,2,105,2,4.87,1,1,2.14,0,1,40,2.0,3,2,8369.4
29135,263994910,3,23,0,12,0,2,4,2,5,365,0,4.0,1,11,0.07,0,1,28,1.0,2,2,450.0
