,id,host_response_time,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,county,essentials,other_amenities,total_bookings,annual_listing_revenue
23862,46922939,0,67,0,1,1,34.05699,-118.37901,0,4,1.0,1,2,30,1125,4,4.75,5.0,5.0,5.0,5.0,5.0,4.5,0,11,0,1,16,5.970149253731344,519.4029850746269
23864,46923498,0,46,0,1,1,34.1178,-118.32604,0,3,1.0,0,1,2,375,8,4.88,5.0,4.88,4.5,5.0,5.0,5.0,0,9,0,1,19,11.940298507462687,5492.5373134328365
23866,46925342,0,96,0,1,1,34.09054,-118.33926,0,5,2.0,2,3,30,1125,1,5.0,5.0,5.0,3.0,5.0,5.0,5.0,0,4,0,1,19,1.492537313432836,371.64179104477614
23870,46928528,0,97,1,1,1,34.16526,-118.69655,2,2,1.5,1,1,1,365,9,5.0,4.89,5.0,4.89,5.0,4.78,4.78,0,4,0,1,42,13.432835820895523,752.2388059701493
23871,46928542,0,98,1,1,1,34.28448,-118.49112,0,4,1.0,2,3,2,1125,30,4.83,4.87,4.83,4.93,4.83,4.87,4.7,0,1,0,1,28,44.776119402985074,10746.268656716418
23872,46929502,1,82,1,1,1,34.09081,-118.59444,0,5,2.0,3,3,3,1125,27,4.78,4.89,4.93,4.96,4.81,4.85,4.78,0,1,0,1,28,40.298507462686565,15111.940298507461
23876,46940177,0,100,1,1,0,34.34709,-117.99911,0,5,2.0,3,4,2,1125,23,4.96,4.87,4.78,5.0,4.96,4.78,4.87,1,1,0,1,39,34.32835820895522,7208.955223880596
23878,46942732,0,86,1,1,0,33.90896,-118.33703,2,3,1.0,1,1,1,5,19,4.84,4.84,4.84,4.84,4.89,4.58,4.84,0,1,0,0,17,28.35820895522388,1814.9253731343283
23879,46943999,0,99,0,1,1,34.01289,-118.29372,0,16,3.0,6,9,31,1125,1,5.0,5.0,5.0,5.0,4.0,4.0,4.0,1,3,0,1,37,1.492537313432836,295.5223880597015
23881,46950724,0,100,1,1,0,34.02256,-118.50451,0,3,1.0,1,2,31,1125,2,4.0,4.5,4.5,5.0,4.5,5.0,4.0,1,64,0,1,17,2.985074626865672,373.13432835820896
23882,46951808,1,93,1,1,1,34.09843,-118.28173,0,4,1.0,2,2,30,150,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,2,0,1,28,5.970149253731344,537.3134328358209
23883,46952030,0,100,1,1,1,34.17936,-118.30124,2,2,1.0,1,1,2,14,20,4.9,4.95,4.8,5.0,5.0,4.95,4.85,0,1,0,1,22,29.850746268656717,2835.820895522388
23885,46952857,0,90,0,1,1,34.17123,-118.24804,0,8,2.5,3,4,30,1125,2,5.0,5.0,5.0,5.0,5.0,5.0,4.5,0,3,0,1,22,2.985074626865672,1776.1194029850747
23886,46953610,0,73,0,1,1,34.05822,-118.35517,0,2,1.0,1,1,31,365,3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,62,0,1,41,4.477611940298507,447.7611940298507
23887,46959244,0,100,1,1,0,34.20094,-118.47047,0,4,2.0,2,2,2,14,29,4.97,4.97,4.97,4.93,4.93,4.86,4.9,0,1,0,1,49,43.28358208955224,11123.880597014926
